,EEG.Fp1,EEG.AF3,EEG.F3,EEG.FC1,EEG.C3,EEG.FC3,EEG.T7,EEG.CP5,EEG.CP1,EEG.P1,EEG.P7,EEG.P9,EEG.PO3,EEG.O1,EEG.O9,EEG.POz,EEG.Oz,EEG.O10,EEG.O2,EEG.PO4,EEG.P10,EEG.P8,EEG.P2,EEG.CP2,EEG.CP6,EEG.T8,EEG.FC4,EEG.C4,EEG.FC2,EEG.F4,EEG.AF4,EEG.Fp2,number
0,0.3430835907945558,0.30196739370364234,0.27424120163035764,0.2872571108086817,0.2920942173117365,0.31065909897740746,0.2659476309814007,0.27595474531308356,0.2823795855481502,0.29974153473476356,0.30874519505042,0.23378240761319166,0.23779061727266207,0.2233185350956079,0.28578480712794035,0.3219375606496123,0.31743422084152023,0.32558548003339566,0.2358850232080856,0.298631772415755,0.2751311849379546,0.28788446193190437,0.2656416005070203,0.24914571758533013,0.29905883505784014,0.31580594914457794,0.3326184692840316,0.33378215743911854,0.29505523598354644,0.3376491933266357,0.3554669928948224,0.33417021285854415,0
0,0.338910967056931,0.2847498533335989,0.2829490175620337,0.2474603969289461,0.2881977636853646,0.290474419591923,0.25821115614933104,0.2603437507617105,0.26296589570145895,0.2831771954052532,0.2656897075411203,0.22478336784955372,0.23514306141272706,0.21934800090397444,0.23743191959435433,0.31092086547977765,0.25410654195735205,0.3242930406874876,0.20914197848908664,0.27782367875625497,0.26179554270977484,0.2773842427904482,0.24757327258311296,0.2242144538802019,0.26908957956228563,0.29678109097297883,0.31358541635384224,0.27666719162181896,0.30589882645611455,0.30769093268973524,0.31478960429609953,0.35143270796186826,1
0,0.3066171939434803,0.3013171006004273,0.2660888597634274,0.258910915527651,0.281574128295279,0.28180534034902976,0.25489942537375154,0.25862009949199155,0.24540346070328292,0.26345529378609384,0.2709611295256024,0.22824866581771594,0.2544902891734969,0.20639957557724029,0.23156933821904235,0.2847721879120998,0.2635092155322411,0.2903452839111572,0.2231814866274638,0.3043688057075205,0.26660543514805946,0.2674039191472852,0.2703068638997351,0.22736238800785444,0.2606999179862655,0.2881493765754737,0.2910059045795447,0.2939424504872151,0.3102082506721001,0.2899750972596025,0.3156500515935444,0.3370352694445092,2
0,0.3364976922834509,0.3001267793136793,0.2757455232219096,0.2486549137084623,0.3247479026507422,0.2801699656906436,0.27355366521598107,0.26525866024413797,0.26258727521144853,0.28642895891986364,0.267222668026159,0.22480513117548387,0.21302092956167415,0.24020700717716964,0.2375775778475062,0.28529604886099497,0.2745384212266023,0.31163676866507495,0.23165383752898883,0.2787987741115188,0.2659298344962981,0.28838254305965677,0.26416181857574533,0.22419513566061752,0.28847541144686134,0.2962152824265869,0.2862564810609784,0.28628081322458226,0.28010799909016665,0.3242588288597416,0.33578000514188705,0.3195143315846015,3
0,0.392108693916614,0.29734447901765737,0.33322529055309863,0.29528122248082805,0.3299914958704963,0.30696911590077763,0.26137977887557984,0.2937424509129281,0.30584345277517316,0.2953036026331742,0.2757280416704972,0.24076101789086826,0.24238067354806755,0.222496077899381,0.2724014407065151,0.3257767709586501,0.3279183652833596,0.314035940114659,0.2796355418544384,0.3264018637810611,0.3223744750484348,0.3295821843648664,0.2548902048224671,0.24946813988177471,0.31765552149633686,0.32667065544289314,0.31327543429592797,0.29245465384383074,0.3462246238563839,0.37429486798085043,0.4154349802768792,0.3456749533954329,4
0,0.33857208006119577,0.29894285052266956,0.29771882273280403,0.2526277110433051,0.2921056481932701,0.29148441746369147,0.24596674619405892,0.27846647989693946,0.2669108775959007,0.2795537553810584,0.2708686054490496,0.2309134451083939,0.21899708197328083,0.21290357168454443,0.24289163972545935,0.3013170419526338,0.281111874482116,0.34046564410172336,0.2373419858718486,0.2891683360633818,0.27347451630831404,0.3066311291707838,0.24345886870021888,0.23679523040416375,0.2607247872391397,0.3242350540493498,0.31223544457959085,0.2980364734987246,0.29015971741163865,0.30919938282328135,0.34716050670426596,0.34565374199283094,5
0,0.3333055249543268,0.28566824303420585,0.2922159334166634,0.2425493196389015,0.3020132470584761,0.25895832173783756,0.2450569594263178,0.2626758968932919,0.26115598075512286,0.27885485614558564,0.25616452101538983,0.24096734424619293,0.22913916439664866,0.2142961832058901,0.24608921012089044,0.3300903856182103,0.2877006807724369,0.3089911701963294,0.2247991037054443,0.2955191244630549,0.2644118288752617,0.31145756309027,0.33875859457540863,0.2489553734553393,0.2772263686113269,0.30887115895492273,0.288290705744182,0.2781946145438911,0.29335892806154223,0.33486484778729,0.3436324737552363,0.33352199469046473,6
0,0.3364844765318911,0.3181954224074784,0.29165469280644507,0.24871635043867144,0.300047909769448,0.3009818530900593,0.258538155708323,0.2920370722713258,0.2830757658542834,0.293567916663576,0.27544184774624014,0.22778534500546277,0.2263958687759317,0.20774119309128,0.2576558377518754,0.3392910101244803,0.28055968793955616,0.31838413423730483,0.22482810384384194,0.28495435919685763,0.27576230723676315,0.3016954898106175,0.300114517949655,0.23325143891326672,0.28848426782932585,0.30546620923123985,0.29779393447674146,0.2869819979535537,0.31600518644549136,0.32888558718441,0.31575944175519083,0.33602427213465125,7
0,0.37985103165592204,0.3481729665173599,0.32844301256637004,0.2960653576061061,0.30366603213987864,0.3234522064531355,0.30326492927425175,0.31809066944267667,0.40734734084082574,0.29123234973034445,0.2903139012164801,0.2561942281163675,0.2443783813335707,0.233449701548298,0.2946845743763607,0.33722406305337377,0.35166537652024765,0.35015348086093906,0.26546933205133955,0.3187316688243194,0.2834540657634543,0.3184985260356743,0.29095028940591483,0.24557241320461334,0.3880876509225514,0.37029082942018376,0.34087308667766464,0.3280587500555635,0.34788257542938567,0.36793049411789236,0.4044945470066187,0.3693403200580286,8
0,0.33782612937898404,0.2942716817776997,0.2675839110859235,0.24802144668264742,0.28671552272437356,0.28504943766017493,0.26388013149736184,0.26671760241230874,0.26171849512014334,0.2812296940082549,0.29418072413125196,0.23576179940291864,0.21744167376089857,0.2172804765394788,0.23572621968749288,0.3106398951188028,0.2604344217800066,0.3157839985048413,0.2298504359727088,0.2913809960478449,0.2705462541108305,0.28308652168889953,0.27626255252945797,0.227961114433018,0.27272911853138215,0.31331267056716594,0.33793534341933407,0.28525604655283193,0.3038756863817026,0.32918889213808644,0.33306003774470533,0.3230748800292961,9
